resume_id,similarity_score,Vague_Score,reciprocal_score,normalized_vague_score,normalized_similarity_score,risk_score
0,0.2583,3,0,0.25,0.125044237,0.512477882
1,0.2676,0,0,0,0.1360151,0.43199245
2,0.3669,2,0,0.166666667,0.253155597,0.423422202
3,0.307,2,1,0.166666667,0.182493807,0.658753097
4,0.3285,1,0,0.083333333,0.207856553,0.421071723
5,0.3109,1,0,0.083333333,0.187094491,0.431452754
6,0.2885,1,0,0.083333333,0.160670048,0.444664976
7,0.2886,1,1,0.083333333,0.160788015,0.644605992
8,0.2847,11,0,0.916666667,0.15618733,0.696906335
9,0.3797,0,0,0,0.268255279,0.365872361
10,0.3406,5,0,0.416666667,0.222130471,0.513934765
11,0.3724,2,1,0.166666667,0.259643742,0.620178129
12,0.2743,0,0,0,0.143918839,0.428040581
13,0.272,6,0,0.5,0.141205615,0.579397193
14,0.2708,2,0,0.166666667,0.13979002,0.48010499
15,0.4042,11,0,0.916666667,0.297157013,0.626421494
16,0.3908,6,0,0.5,0.281349534,0.509325233
17,0.5681,1,0,0.083333333,0.490503716,0.279748142
18,0.2616,11,0,0.916666667,0.128937124,0.710531438
19,0.4927,6,0,0.5,0.401557155,0.449221422
20,0.3205,8,0,0.666666667,0.198419252,0.600790374
21,0.2688,1,0,0.083333333,0.137430695,0.456284652
22,0.3523,4,0,0.333333333,0.235932523,0.482033738
23,0.3443,3,0,0.25,0.226495222,0.461752389
24,0.3284,1,0,0.083333333,0.207738587,0.421130706
25,0.4249,6,0,0.5,0.321576029,0.489211986
26,0.3277,0,0,0,0.206912823,0.396543589
27,0.3864,2,0,0.166666667,0.276159019,0.411920491
28,0.523,2,0,0.166666667,0.437300932,0.331349534
29,0.2299,4,0,0.333333333,0.091541819,0.55422909
30,0.2208,5,0,0.416666667,0.080806889,0.584596556
31,0.3669,10,0,0.833333333,0.253155597,0.623422201
32,0.4392,0,0,0,0.338445205,0.330777398
33,0.4141,3,0,0.25,0.308835673,0.420582164
34,0.4943,1,0,0.083333333,0.403444615,0.323277692
35,0.2514,3,1,0.25,0.116904565,0.716547717
36,0.4199,4,0,0.333333333,0.315677716,0.442161142
37,0.3227,4,0,0.333333333,0.20101451,0.499492745
38,0.4774,1,1,0.083333333,0.383508317,0.533245841
39,0.4018,0,0,0,0.294325823,0.352837089
40,0.3323,2,0,0.166666667,0.212339271,0.443830365
41,0.3673,2,1,0.166666667,0.253627463,0.623186269
42,0.268,2,0,0.166666667,0.136486965,0.481756518
43,0.1952,1,0,0.083333333,0.050607526,0.499696237
44,0.4593,0,0,0,0.362156423,0.318921788
45,0.5625,3,0,0.25,0.483897605,0.333051198
46,0.4178,7,0,0.583333333,0.313200425,0.518399787
47,0.3057,10,0,0.833333333,0.180960245,0.659519877
48,0.4789,1,0,0.083333333,0.385277811,0.332361094
49,0.2693,7,0,0.583333333,0.138020526,0.605989737
50,0.3501,2,0,0.166666667,0.233337266,0.433331367
51,0.3705,6,0,0.5,0.257402383,0.521298809
52,0.3142,0,0,0,0.190987378,0.404506311
53,0.3787,1,0,0.083333333,0.267075616,0.391462192
54,0.3398,3,0,0.25,0.221186741,0.46440663
55,0.2266,0,0,0,0.087648932,0.456175534
56,0.4198,2,0,0.166666667,0.31555975,0.392220125
57,0.384,3,0,0.25,0.273327828,0.438336086
58,0.3446,1,0,0.083333333,0.226849121,0.411575439
59,0.1963,1,0,0.083333333,0.051905155,0.499047422
60,0.2805,5,0,0.416666667,0.151232747,0.549383627
61,0.3439,2,0,0.166666667,0.226023357,0.436988322
62,0.4129,0,0,0,0.307420078,0.346289961
63,0.5227,8,0,0.666666667,0.436947033,0.481526484
64,0.1807,2,0,0.166666667,0.033502418,0.533248791
65,0.3439,4,0,0.333333333,0.226023357,0.486988321
66,0.5121,7,0,0.583333333,0.424442609,0.462778695
67,0.3141,7,0,0.583333333,0.190869411,0.579565294
68,0.2441,2,0,0.166666667,0.108293028,0.495853486
69,0.4328,3,0,0.25,0.330895364,0.409552318
70,0.3107,4,0,0.333333333,0.186858558,0.506570721
71,0.3456,2,0,0.166666667,0.228028784,0.435985608
72,0.397,2,0,0.166666667,0.288663442,0.405668279
73,0.5133,4,0,0.333333333,0.425858205,0.387070897
74,0.2448,4,0,0.333333333,0.109118792,0.545440604
75,0.2914,1,0,0.083333333,0.16409107,0.442954465
76,0.2962,3,0,0.25,0.169753451,0.490123275
77,0.4015,5,0,0.416666667,0.293971924,0.478014038
78,0.3241,1,0,0.083333333,0.202666038,0.423666981
79,0.3334,0,0,0,0.2136369,0.39318155
80,0.4278,2,0,0.166666667,0.324997051,0.387501475
81,0.322,9,0,0.75,0.200188746,0.624905627
82,0.4937,4,0,0.333333333,0.402736817,0.398631591
83,0.3427,1,1,0.083333333,0.224607762,0.612696119
84,0.3818,4,0,0.333333333,0.27073257,0.464633715
85,1,3,0,0.25,1,0.075
86,0.3307,0,0,0,0.210451811,0.394774095
87,0.3479,7,0,0.583333333,0.230742008,0.559628996
88,0.2678,5,0,0.416666667,0.136251032,0.556874484
89,0.4265,0,0,0,0.323463489,0.338268256
90,0.3814,5,0,0.416666667,0.270260705,0.489869648
91,1,2,0,0.166666667,1,0.05
92,0.4532,1,0,0.083333333,0.354960481,0.347519759
93,0.3357,0,0,0,0.216350124,0.391824938
94,0.3669,2,0,0.166666667,0.253155597,0.423422202
95,0.4156,2,0,0.166666667,0.310605167,0.394697417
96,0.4801,7,0,0.583333333,0.386693406,0.481653297
97,0.2012,0,0,0,0.057685502,0.471157249
98,0.3469,0,0,0,0.229562345,0.385218828
99,0.2466,0,0,0,0.111242185,0.444378908
100,0.5428,9,0,0.75,0.460658252,0.494670874
101,0.5111,2,0,0.166666667,0.423262947,0.338368527
102,0.3056,0,0,0,0.180842279,0.409578861
103,0.3536,3,0,0.25,0.237466085,0.456266958
104,0.3753,5,0,0.416666667,0.263064763,0.493467619
105,0.2414,2,0,0.166666667,0.105107939,0.497446031
106,0.4168,1,0,0.083333333,0.312020762,0.368989619
107,0.2679,1,0,0.083333333,0.136368998,0.456815501
108,0.2467,1,0,0.083333333,0.111360151,0.469319924
109,0.3297,1,0,0.083333333,0.209272148,0.420363926
110,0.6345,6,0,0.5,0.568833314,0.365583343
111,0.2665,3,0,0.25,0.134717471,0.507641265
112,0.2859,0,0,0,0.157602926,0.421198537
113,0.4621,5,0,0.416666667,0.365459479,0.442270261
114,0.4238,1,0,0.083333333,0.3202784,0.3648608
115,0.2889,6,1,0.5,0.161141913,0.769429044
116,0.3194,3,0,0.25,0.197121623,0.476439189
117,0.3612,3,0,0.25,0.246431521,0.45178424
118,0.3162,2,1,0.166666667,0.193346703,0.653326649
119,0.3179,1,0,0.083333333,0.195352129,0.427323935
120,0.3918,1,0,0.083333333,0.282529197,0.383735401
121,0.4679,3,0,0.25,0.372301522,0.388849239
122,0.3021,8,0,0.666666667,0.17671346,0.61164327
123,0.2464,4,0,0.333333333,0.111006252,0.544496874
124,0.4001,0,0,0,0.292320396,0.353839802
125,0.4528,2,1,0.166666667,0.354488616,0.572755692
126,0.3426,4,0,0.333333333,0.224489796,0.487755102
127,0.492,5,0,0.416666667,0.400731391,0.424634305
128,0.302,3,1,0.25,0.176595494,0.686702253
129,0.6784,4,0,0.333333333,0.620620503,0.289689748
130,0.3749,1,0,0.083333333,0.262592898,0.393703551
131,0.438,1,0,0.083333333,0.33702961,0.356485195
132,1,3,0,0.25,1,0.075
133,0.3008,1,0,0.083333333,0.175179899,0.43741005
134,0.3928,1,0,0.083333333,0.283708859,0.38314557
135,0.5287,4,0,0.333333333,0.444025009,0.377987495
136,0.2988,4,0,0.333333333,0.172820573,0.513589713
137,0.2643,0,0,0,0.132122213,0.433938894
138,0.4857,2,1,0.166666667,0.393299516,0.553350242
139,0.2521,2,0,0.166666667,0.117730329,0.491134836
140,0.2899,1,0,0.083333333,0.162321576,0.443839212
141,1,7,0,0.583333333,1,0.175
142,0.2621,3,0,0.25,0.129526955,0.510236523
143,0.2573,2,0,0.166666667,0.123864575,0.488067713
144,0.4978,1,0,0.083333333,0.407573434,0.321213283
145,0.3855,5,0,0.416666667,0.275097322,0.487451339
146,0.3901,2,0,0.166666667,0.28052377,0.409738115
147,0.3959,2,0,0.166666667,0.287365813,0.406317094
148,0.3638,7,0,0.583333333,0.249498643,0.550250678
149,0.3487,11,1,0.916666667,0.231685738,0.859157131
150,0.3122,5,0,0.416666667,0.188628052,0.530685974
151,0.4655,4,0,0.333333333,0.369470331,0.415264834
152,0.3174,1,0,0.083333333,0.194762298,0.427618851
153,0.3927,0,0,0,0.283590893,0.358204554
154,0.3501,0,0,0,0.233337266,0.383331367
155,0.5361,4,0,0.333333333,0.452754512,0.373622744
156,0.2307,0,1,0,0.092485549,0.653757225
157,0.2988,1,0,0.083333333,0.172820573,0.438589713
158,0.3319,3,0,0.25,0.211867406,0.469066297
159,0.2731,1,0,0.083333333,0.142503244,0.453748378
160,0.4081,1,0,0.083333333,0.301757697,0.374121151
161,0.2129,2,0,0.166666667,0.071487555,0.514256223
162,0.2722,2,0,0.166666667,0.141441548,0.479279226
163,0.3632,7,0,0.583333333,0.248790846,0.550604577
164,0.3425,6,1,0.5,0.22437183,0.737814085
165,0.2903,1,0,0.083333333,0.162793441,0.443603279
166,0.346,3,0,0.25,0.228500649,0.460749676
167,0.3585,3,0,0.25,0.243246432,0.453376784
168,0.2793,2,1,0.166666667,0.149817152,0.675091424
169,0.6082,2,0,0.166666667,0.537808187,0.281095907
170,0.4278,1,0,0.083333333,0.324997051,0.362501474
171,0.3727,1,0,0.083333333,0.259997641,0.395001179
172,0.3704,0,0,0,0.257284417,0.371357792
173,0.3499,2,0,0.166666667,0.233101333,0.433449334
174,0.2751,4,0,0.333333333,0.144862569,0.527568715
175,0.3885,3,0,0.25,0.27863631,0.435681845
176,0.5251,4,0,0.333333333,0.439778223,0.380110888
177,0.3503,0,0,0,0.233573198,0.383213401
178,0.3046,6,0,0.5,0.179662616,0.560168692
179,0.3454,0,0,0,0.227792851,0.386103575
180,0.3369,7,0,0.583333333,0.217765719,0.56611714
181,0.2663,1,0,0.083333333,0.134481538,0.457759231
182,0.4171,9,1,0.75,0.312374661,0.768812669
183,0.3741,0,0,0,0.261649168,0.369175416
184,0.605,3,0,0.25,0.534033266,0.307983367
185,0.2045,5,0,0.416666667,0.061578389,0.594210806
186,0.3399,0,0,0,0.221304707,0.389347647
187,0.3383,5,0,0.416666667,0.219417247,0.515291377
188,1,0,0,0,1,0
189,0.2527,6,0,0.5,0.118438127,0.590780937
190,0.2203,6,0,0.5,0.080217058,0.609891471
191,0.3385,7,0,0.583333333,0.219653179,0.56517341
192,0.7565,1,0,0.083333333,0.712752153,0.168623923
193,0.2339,1,0,0.083333333,0.09626047,0.476869765
194,0.405,2,1,0.166666667,0.298100743,0.600949629
195,0.4078,3,0,0.25,0.301403799,0.424298101
196,1,3,0,0.25,1,0.075
197,0.262,1,0,0.083333333,0.129408989,0.460295505
198,0.2429,4,0,0.333333333,0.106877433,0.546561283
199,0.2954,3,0,0.25,0.16880972,0.49059514
200,0.3046,2,0,0.166666667,0.179662616,0.460168692
201,0.2852,4,0,0.333333333,0.156777162,0.521611419
202,0.2753,2,0,0.166666667,0.145098502,0.477450749
203,0.4214,5,0,0.416666667,0.31744721,0.466276395
204,0.3705,2,1,0.166666667,0.257402383,0.621298809
205,0.3782,4,0,0.333333333,0.266485785,0.466757107
206,0.3539,3,1,0.25,0.237819983,0.656090009
207,0.4025,2,0,0.166666667,0.295151587,0.402424207
208,0.2854,4,1,0.333333333,0.157013094,0.721493453
209,0.3497,2,0,0.166666667,0.2328654,0.4335673
210,0.5102,6,0,0.5,0.42220125,0.438899375
211,1,5,0,0.416666667,1,0.125
212,0.3539,0,0,0,0.237819983,0.381090008
213,0.3874,2,0,0.166666667,0.277338681,0.41133066
214,0.4118,3,0,0.25,0.306122449,0.421938776
215,0.3922,3,0,0.25,0.283001062,0.433499469
216,0.2521,2,0,0.166666667,0.117730329,0.491134836
217,0.4697,3,0,0.25,0.374424914,0.387787543
218,0.3083,5,0,0.416666667,0.184027368,0.532986316
219,0.2411,7,0,0.583333333,0.10475404,0.62262298
220,0.463,0,0,0,0.366521175,0.316739413
221,0.396,0,0,0,0.28748378,0.35625811
222,0.282,4,0,0.333333333,0.153002241,0.523498879
223,0.3531,1,1,0.083333333,0.236876253,0.606561873
224,0.5107,7,0,0.583333333,0.422791082,0.463604459
225,0.239,5,0,0.416666667,0.102276749,0.573861626
226,0.1876,0,0,0,0.04164209,0.479178955
227,0.218,3,0,0.25,0.077503834,0.536248083
228,0.2967,0,0,0,0.170343282,0.414828359
229,0.237,6,0,0.5,0.099917424,0.600041288
230,0.4312,1,0,0.083333333,0.329007904,0.360496048
231,1,1,0,0.083333333,1,0.025
232,0.2677,2,0,0.166666667,0.136133066,0.481933467
233,0.3644,1,0,0.083333333,0.250206441,0.399896779
234,0.1964,3,0,0.25,0.052023121,0.54898844
235,0.3488,3,0,0.25,0.231803704,0.459098148
236,0.3725,0,0,0,0.259761708,0.370119146
237,0.611,7,0,0.583333333,0.541111242,0.404444379
238,0.2975,0,0,0,0.171287012,0.414356494
239,0.379,4,0,0.333333333,0.267429515,0.466285242
240,0.1981,2,0,0.166666667,0.054028548,0.522985726
241,0.2753,6,1,0.5,0.145098502,0.777450749
242,0.2682,0,0,0,0.136722897,0.431638551
243,0.2834,2,0,0.166666667,0.154653769,0.472673116
244,0.3304,2,0,0.166666667,0.210097912,0.444951044
245,0.3955,2,0,0.166666667,0.286893948,0.406553026
246,0.3437,8,0,0.666666667,0.225787425,0.587106288
247,0.529,0,0,0,0.444378908,0.277810546
248,0.3194,6,0,0.5,0.197121623,0.551439189
249,0.4724,5,0,0.416666667,0.377610004,0.436194998
250,0.4122,4,0,0.333333333,0.306594314,0.446702843
251,0.4807,0,0,0,0.387401203,0.306299399
252,0.3239,7,0,0.583333333,0.202430105,0.573784947
253,0.389,6,0,0.5,0.279226141,0.51038693
254,0.5583,0,1,0,0.478943022,0.460528489
255,0.3063,0,1,0,0.181668043,0.609165979
256,0.2545,4,0,0.333333333,0.120561519,0.53971924
257,0.3002,0,0,0,0.174472101,0.41276395
258,0.3131,4,0,0.333333333,0.189689749,0.505155125
259,0.3763,6,0,0.5,0.264244426,0.517877787
260,0.3982,1,0,0.083333333,0.290079037,0.379960481
261,0.3752,3,0,0.25,0.262946797,0.443526602
262,0.3035,5,0,0.416666667,0.178364988,0.535817506
263,0.4513,1,0,0.083333333,0.352719122,0.348640439
264,0.3571,4,0,0.333333333,0.241594904,0.479202548
265,0.4021,2,0,0.166666667,0.294679722,0.402660139
266,0.3353,5,0,0.416666667,0.215878259,0.517060871
267,0.2826,5,0,0.416666667,0.153710039,0.548144981
268,0.4655,3,0,0.25,0.369470331,0.390264835
269,0.3679,7,0,0.583333333,0.25433526,0.54783237
270,0.2967,1,0,0.083333333,0.170343282,0.439828359
271,0.4292,4,0,0.333333333,0.326648579,0.43667571
272,0.2948,2,0,0.166666667,0.168101923,0.465949039
273,0.3343,7,0,0.583333333,0.214698596,0.567650702
274,0.2001,4,0,0.333333333,0.056387873,0.571806063
275,0.279,4,0,0.333333333,0.149463254,0.525268373
276,0.2516,0,0,0,0.117140498,0.441429751
277,0.221,1,0,0.083333333,0.081042822,0.484478589
278,1,4,0,0.333333333,1,0.1
279,0.5639,3,1,0.25,0.485549133,0.532225434
280,0.3506,9,0,0.75,0.233927097,0.608036452
281,0.3355,10,0,0.833333333,0.216114191,0.641942904
282,0.2734,1,0,0.083333333,0.142857143,0.453571428
283,0.4224,0,0,0,0.318626873,0.340686564
284,0.214,5,1,0.416666667,0.072785183,0.788607409
285,0.4627,0,0,0,0.366167276,0.316916362
286,0.2417,2,1,0.166666667,0.105461838,0.697269081
287,0.5088,5,0,0.416666667,0.420549723,0.414725139
288,0.2905,3,0,0.25,0.163029374,0.493485313
289,0.3099,0,0,0,0.185914828,0.407042586
290,0.4178,5,0,0.416666667,0.313200425,0.468399788
291,0.2099,3,0,0.25,0.067948567,0.541025717
292,0.3158,3,0,0.25,0.192874838,0.478562581
293,0.4053,1,0,0.083333333,0.298454642,0.375772679
294,0.511,0,0,0,0.423144981,0.28842751
295,0.4286,0,1,0,0.325940781,0.53702961
296,0.4085,2,0,0.166666667,0.302229562,0.398885219
297,0.3086,2,0,0.166666667,0.184381267,0.457809367
298,0.3956,2,0,0.166666667,0.287011915,0.406494043
299,0.1981,3,0,0.25,0.054028548,0.547985726
300,0.3531,3,0,0.25,0.236876253,0.456561874
301,0.3471,6,0,0.5,0.229798278,0.535100861
302,0.3857,2,1,0.166666667,0.275333255,0.612333373
303,0.3098,0,0,0,0.185796862,0.407101569
304,0.3739,5,0,0.416666667,0.261413236,0.494293382
305,0.3481,0,0,0,0.23097794,0.38451103
306,0.2858,1,0,0.083333333,0.157484959,0.44625752
307,0.3372,0,0,0,0.218119618,0.390940191
308,0.2613,0,0,0,0.128583225,0.435708388
309,0.3297,2,0,0.166666667,0.209272148,0.445363926
310,0.436,1,0,0.083333333,0.334670284,0.357664858
311,0.2416,2,0,0.166666667,0.105343872,0.497328064
312,0.4771,2,0,0.166666667,0.383154418,0.358422791
313,0.4818,0,0,0,0.388698832,0.305650584
314,0.6268,5,0,0.416666667,0.559749912,0.345125044
315,0.4557,0,0,0,0.357909638,0.321045181
316,0.508,0,0,0,0.419605993,0.290197004
317,0.4736,6,0,0.5,0.379025599,0.460487201
318,0.366,0,0,0,0.252093901,0.373953049
319,0.3101,4,0,0.333333333,0.186150761,0.506924619
320,0.3878,3,0,0.25,0.277810546,0.436094727
321,0.3708,1,0,0.083333333,0.257756282,0.396121859
322,0.3568,1,1,0.083333333,0.241241005,0.604379497
323,0.2715,3,0,0.25,0.140615784,0.504692108
324,0.3574,6,1,0.5,0.241948803,0.729025599
325,0.4433,4,0,0.333333333,0.343281821,0.428359089
326,0.258,5,1,0.416666667,0.124690339,0.762654831
327,0.4198,2,1,0.166666667,0.31555975,0.592220125
328,0.2355,4,0,0.333333333,0.09814793,0.550926035
329,0.2755,9,0,0.75,0.145334434,0.652332783
330,0.3488,0,0,0,0.231803704,0.384098148
331,0.2642,2,0,0.166666667,0.132004247,0.483997877
